2021-04-10 13:35:35.084 [main] INFO  logic.LogicalAgent - ModelBase loaded.
2021-04-10 13:36:15.656 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:36:34.639 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:37:32.648 [main] INFO  logic.page.LoginPage - semoo signed up.
2021-04-10 13:37:32.659 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:37:48.649 [main] INFO  logic.page.LoginPage - semoo signed in.
2021-04-10 13:37:48.658 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:38:04.658 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:38:55.658 [main] INFO  logic.page.personalPage.PersonalPage - Tweet has been made.
2021-04-10 13:38:55.664 [main] INFO  model.ModelBase - ModelBase saved successfully.
2021-04-10 13:39:03.663 [main] INFO  model.ModelBase - ModelBase saved successfully.
